ID,year,school,score,fsm,vr1percent,gender,vrband,ethnicity,schoolgender,schooldenom
73,1,1,26,24,18,1,2,1,1,1
74,1,1,8,24,18,1,3,1,1,1
75,1,1,18,24,18,1,2,1,1,1
76,1,1,23,24,18,0,2,1,1,1
77,1,1,22,24,18,0,3,11,1,1
78,1,1,12,24,18,0,1,1,1,1
79,1,1,3,24,18,1,3,1,1,1
80,2,1,1,43,17,1,1,11,1,1
81,2,1,27,43,17,0,2,1,1,1
82,2,1,19,43,17,0,3,7,1,1
83,2,1,24,43,17,0,3,1,1,1
84,2,1,14,43,17,0,1,1,1,1
85,2,1,5,43,17,0,1,1,1,1
86,2,1,5,43,17,1,1,5,1,1
87,2,1,7,43,17,1,3,1,1,1
88,2,1,23,43,17,0,2,1,1,1
89,2,1,26,43,17,0,2,1,1,1
90,2,1,2,43,17,1,3,1,1,1
91,2,1,17,43,17,1,3,5,1,1
92,2,1,35,43,17,0,3,1,1,1
93,2,1,1,43,17,0,1,1,1,1
94,2,1,51,43,17,1,2,1,1,1
95,2,1,11,43,17,0,1,1,1,1
96,2,1,14,43,17,0,3,1,1,1
97,2,1,28,43,17,1,3,1,1,1
98,2,1,1,43,17,1,3,1,1,1
99,2,1,19,43,17,1,3,1,1,1
100,2,1,22,43,17,1,3,1,1,1
101,2,1,2,43,17,1,1,1,1,1
102,2,1,32,43,17,0,2,1,1,1
103,2,1,9,43,17,0,1,1,1,1
104,2,1,10,43,17,0,1,1,1,1
105,2,1,14,43,17,0,3,1,1,1
106,2,1,18,43,17,1,3,1,1,1
107,2,1,4,43,17,0,1,1,1,1
108,2,1,17,43,17,1,3,1,1,1
109,2,1,22,43,17,1,1,1,1,1
110,2,1,2,43,17,0,3,1,1,1
111,2,1,31,43,17,1,2,1,1,1
112,2,1,9,43,17,1,1,1,1,1
113,2,1,14,43,17,1,1,5,1,1
114,2,1,5,43,17,1,3,1,1,1
115,2,1,17,43,17,1,3,1,1,1
116,2,1,46,43,17,0,3,1,1,1
117,2,1,17,43,17,0,3,7,1,1
118,2,1,9,43,17,0,3,1,1,1
119,2,1,17,43,17,0,3,1,1,1
120,2,1,5,43,17,1,2,1,1,1
121,2,1,25,43,17,1,3,1,1,1
122,2,1,9,43,17,1,3,1,1,1
123,2,1,16,43,17,0,3,1,1,1
124,2,1,27,43,17,1,3,1,1,1
125,2,1,30,43,17,1,3,1,1,1
126,2,1,4,43,17,1,3,1,1,1
127,2,1,35,43,17,1,2,11,1,1
128,2,1,25,43,17,1,2,1,1,1
129,2,1,14,43,17,0,1,1,1,1
130,2,1,13,43,17,1,3,1,1,1
131,2,1,30,43,17,1,3,1,1,1
132,2,1,2,43,17,0,3,1,1,1
133,2,1,26,43,17,0,3,1,1,1
134,2,1,10,43,17,1,1,1,1,1
135,2,1,49,43,17,0,2,7,1,1
136,2,1,4,43,17,0,1,1,1,1
137,2,1,25,43,17,1,2,1,1,1
138,2,1,1,43,17,1,1,1,1,1
139,3,1,16,43,12,0,3,1,1,1
140,3,1,6,43,12,1,3,11,1,1
141,3,1,28,43,12,1,3,1,1,1
142,3,1,9,43,12,1,3,1,1,1
143,3,1,23,43,12,1,3,1,1,1
144,3,1,18,43,12,1,1,1,1,1
145,3,1,5,43,12,1,1,1,1,1
146,3,1,43,43,12,1,2,1,1,1
147,3,1,16,43,12,1,1,1,1,1
148,3,1,17,43,12,0,3,1,1,1
149,3,1,10,43,12,1,1,1,1,1
150,3,1,5,43,12,1,2,1,1,1
151,3,1,28,43,12,1,3,1,1,1
152,3,1,19,43,12,0,3,1,1,1
153,3,1,22,43,12,1,3,1,1,1
154,3,1,2,43,12,0,1,1,1,1
155,3,1,11,43,12,1,3,1,1,1
156,3,1,33,43,12,1,2,1,1,1
157,3,1,9,43,12,0,2,1,1,1
158,3,1,7,43,12,0,2,1,1,1
159,3,1,11,43,12,0,3,1,1,1
160,3,1,36,43,12,1,3,1,1,1
161,3,1,10,43,12,1,3,1,1,1
162,3,1,22,43,12,1,3,1,1,1
163,3,1,30,43,12,1,3,1,1,1
164,3,1,9,43,12,1,2,1,1,1
165,3,1,11,43,12,0,1,1,1,1
166,3,1,23,43,12,1,3,1,1,1
167,3,1,7,43,12,0,1,1,1,1
168,3,1,15,43,12,1,3,1,1,1
169,3,1,8,43,12,1,1,1,1,1
170,3,1,3,43,12,0,3,1,1,1
171,3,1,14,43,12,1,3,1,1,1
172,3,1,41,43,12,1,3,1,1,1
173,3,1,10,43,12,1,3,1,1,1
174,3,1,17,43,12,1,3,5,1,1
175,3,1,30,43,12,1,3,1,1,1
176,3,1,32,43,12,1,3,7,1,1
177,3,1,12,43,12,0,1,1,1,1
178,3,1,2,43,12,1,3,1,1,1
179,3,1,5,43,12,1,1,1,1,1
180,3,1,6,43,12,0,3,1,1,1
181,3,1,15,43,12,0,1,7,1,1
182,3,1,19,43,12,0,2,1,1,1
183,3,1,35,43,12,1,2,1,1,1
184,3,1,10,43,12,0,1,1,1,1
185,3,1,15,43,12,1,3,1,1,1
186,3,1,4,43,12,1,3,1,1,1
187,3,1,16,43,12,0,1,1,1,1
188,3,1,5,43,12,1,3,1,1,1
189,3,1,7,43,12,1,3,1,1,1
190,3,1,14,43,12,0,3,1,1,1
191,3,1,23,43,12,0,3,1,1,1
192,3,1,43,43,12,0,2,1,1,1
193,3,1,14,43,12,1,2,1,1,1
194,3,1,3,43,12,0,2,1,1,1
195,3,1,24,43,12,1,3,1,1,1
196,3,1,12,43,12,1,1,1,1,1
197,3,1,7,43,12,1,1,1,1,1
198,3,1,49,43,12,1,3,1,1,1
199,3,1,24,43,12,0,3,1,1,1
200,2,2,30,54,26,0,3,1,1,1
201,2,2,60,54,26,0,2,1,1,1
202,2,2,48,54,26,0,2,1,1,1
203,2,2,25,54,26,0,2,1,1,1
204,2,2,15,54,26,1,3,1,1,1
205,2,2,30,54,26,1,3,1,1,1
206,2,2,32,54,26,0,3,11,1,1
207,2,2,32,54,26,0,2,1,1,1
208,2,2,1,54,26,0,1,11,1,1
209,2,2,3,54,26,1,1,10,1,1
210,2,2,13,54,26,1,3,5,1,1
211,2,2,17,54,26,0,2,1,1,1
212,2,2,20,54,26,1,2,11,1,1
213,2,2,40,54,26,1,2,1,1,1
214,2,2,45,54,26,1,2,1,1,1
215,2,2,5,54,26,1,3,5,1,1
216,2,2,45,54,26,0,2,1,1,1
217,2,2,2,54,26,1,3,6,1,1
218,2,2,1,54,26,0,1,4,1,1
219,2,2,21,54,26,0,2,10,1,1
220,2,2,29,54,26,1,1,1,1,1
221,2,2,10,54,26,0,1,11,1,1
222,2,2,10,54,26,1,3,1,1,1
223,2,2,30,54,26,0,3,1,1,1
224,2,2,32,54,26,1,3,1,1,1
225,2,2,14,54,26,0,3,5,1,1
226,2,2,38,54,26,1,3,1,1,1
227,2,2,12,54,26,0,3,5,1,1
228,2,2,32,54,26,1,2,1,1,1
229,2,2,39,54,26,0,2,11,1,1
230,2,2,18,54,26,0,3,1,1,1
231,2,2,3,54,26,1,1,1,1,1
232,2,2,11,54,26,0,3,1,1,1
233,2,2,20,54,26,1,3,1,1,1
234,2,2,25,54,26,0,3,1,1,1
235,2,2,13,54,26,0,3,1,1,1
236,2,2,26,54,26,1,2,1,1,1
237,2,2,18,54,26,0,3,1,1,1
238,2,2,35,54,26,1,3,6,1,1
239,2,2,1,54,26,1,1,2,1,1
240,2,2,9,54,26,1,1,5,1,1
241,2,2,46,54,26,1,3,1,1,1
242,2,2,12,54,26,0,1,1,1,1
243,2,2,39,54,26,1,3,1,1,1
244,2,2,14,54,26,0,1,1,1,1
245,2,2,50,54,26,0,2,1,1,1
246,2,2,1,54,26,0,3,1,1,1
247,2,2,41,54,26,1,2,1,1,1
248,3,2,4,54,26,0,1,1,1,1
249,3,2,70,54,26,1,2,1,1,1
250,3,2,56,54,26,1,3,1,1,1
251,3,2,48,54,26,0,2,1,1,1
252,3,2,40,54,26,0,3,6,1,1
253,3,2,28,54,26,0,3,9,1,1
254,3,2,70,54,26,1,2,11,1,1
255,3,2,19,54,26,0,1,9,1,1
256,3,2,1,54,26,1,1,6,1,1
257,3,2,12,54,26,0,3,5,1,1
258,3,2,9,54,26,1,1,6,1,1
259,3,2,47,54,26,1,2,1,1,1
260,3,2,30,54,26,1,2,1,1,1
261,3,2,17,54,26,1,1,9,1,1
262,3,2,11,54,26,1,1,5,1,1
263,3,2,24,54,26,0,1,5,1,1
264,3,2,5,54,26,0,1,1,1,1
265,3,2,46,54,26,0,2,1,1,1
266,3,2,40,54,26,1,3,1,1,1
267,3,2,44,54,26,1,2,6,1,1
268,3,2,22,54,26,0,3,1,1,1
269,3,2,36,54,26,0,2,1,1,1
270,3,2,14,54,26,1,3,5,1,1
271,3,2,4,54,26,1,1,1,1,1
272,3,2,8,54,26,1,1,9,1,1
273,3,2,5,54,26,0,1,1,1,1
274,3,2,38,54,26,1,3,11,1,1
275,3,2,30,54,26,0,3,1,1,1
276,3,2,45,54,26,0,2,1,1,1
277,3,2,8,54,26,0,3,1,1,1
278,3,2,38,54,26,1,2,1,1,1
279,3,2,48,54,26,0,2,1,1,1
280,3,2,41,54,26,1,2,1,1,1
281,3,2,54,54,26,1,2,11,1,1
282,3,2,31,54,26,1,3,11,1,1
283,3,2,39,54,26,1,3,1,1,1
284,3,2,5,54,26,0,1,1,1,1
285,3,2,28,54,26,0,3,1,1,1
286,3,2,2,54,26,0,3,5,1,1
287,3,2,47,54,26,0,2,1,1,1
288,3,2,6,54,26,0,3,1,1,1
289,3,2,49,54,26,0,2,1,1,1
290,3,2,20,54,26,1,3,1,1,1
291,1,3,20,24,21,0,2,1,2,2
292,1,3,12,24,21,0,3,1,2,2
293,1,3,16,24,21,0,1,1,2,2
294,1,3,10,24,21,0,3,5,2,2
295,1,3,9,24,21,0,3,1,2,2
296,1,3,19,24,21,0,3,1,2,2
297,1,3,19,24,21,0,3,2,2,2
298,1,3,18,24,21,0,3,5,2,2
299,1,3,10,24,21,0,3,1,2,2
300,1,3,22,24,21,0,3,1,2,2
301,1,3,52,24,21,0,2,1,2,2
302,1,3,1,24,21,0,1,2,2,2
303,1,3,9,24,21,0,2,2,2,2
304,1,3,1,24,21,0,1,5,2,2
305,1,3,13,24,21,0,3,1,2,2
306,1,3,9,24,21,0,1,5,2,2
307,1,3,12,24,21,0,3,1,2,2
308,1,3,24,24,21,0,3,1,2,2
309,1,3,25,24,21,0,2,7,2,2
310,1,3,6,24,21,0,3,5,2,2
311,1,3,23,24,21,0,3,1,2,2
312,1,3,9,24,21,0,3,2,2,2
313,1,3,4,24,21,0,3,1,2,2
314,1,3,32,24,21,0,2,1,2,2
315,1,3,27,24,21,0,2,1,2,2
316,1,3,12,24,21,0,1,1,2,2
317,1,3,31,24,21,0,2,1,2,2
318,1,3,3,24,21,0,3,5,2,2
319,1,3,15,24,21,0,3,3,2,2
320,1,3,28,24,21,0,3,5,2,2
321,1,3,18,24,21,0,3,5,2,2
322,1,3,20,24,21,0,2,1,2,2
323,1,3,6,24,21,0,1,1,2,2
324,2,3,11,37,19,0,1,5,2,2
325,2,3,39,37,19,0,2,6,2,2
326,2,3,10,37,19,0,1,5,2,2
327,2,3,22,37,19,0,3,1,2,2
328,2,3,8,37,19,0,3,5,2,2
329,2,3,32,37,19,0,3,9,2,2
330,2,3,20,37,19,0,3,5,2,2
331,2,3,21,37,19,0,3,1,2,2
332,2,3,18,37,19,0,1,5,2,2
333,2,3,23,37,19,0,3,1,2,2
334,2,3,13,37,19,0,1,1,2,2
335,2,3,4,37,19,0,1,5,2,2
336,2,3,25,37,19,0,3,1,2,2
337,2,3,17,37,19,0,3,5,2,2
338,2,3,11,37,19,0,3,5,2,2
339,2,3,4,37,19,0,1,5,2,2
340,2,3,29,37,19,0,3,1,2,2
341,2,3,30,37,19,0,2,1,2,2
342,2,3,8,37,19,0,3,5,2,2
343,2,3,30,37,19,0,3,5,2,2
344,2,3,3,37,19,0,3,5,2,2
345,2,3,34,37,19,0,2,6,2,2
346,2,3,23,37,19,0,3,1,2,2
347,2,3,17,37,19,0,3,1,2,2
348,2,3,26,37,19,0,2,1,2,2
349,2,3,29,37,19,0,2,1,2,2
350,2,3,13,37,19,0,3,5,2,2
351,2,3,8,37,19,0,3,5,2,2
352,2,3,26,37,19,0,3,1,2,2
353,3,3,43,37,20,0,2,8,2,2
354,3,3,7,37,20,0,1,5,2,2
355,3,3,22,37,20,0,3,5,2,2
356,3,3,22,37,20,0,2,1,2,2
357,3,3,6,37,20,0,2,1,2,2
358,3,3,32,37,20,0,3,1,2,2
359,3,3,3,37,20,0,1,5,2,2
360,3,3,38,37,20,0,2,8,2,2
361,3,3,15,37,20,0,3,1,2,2
362,3,3,35,37,20,0,2,1,2,2
363,3,3,20,37,20,0,2,5,2,2
364,3,3,20,37,20,0,3,1,2,2
365,3,3,4,37,20,0,3,5,2,2
366,3,3,20,37,20,0,3,5,2,2
367,3,3,5,37,20,0,3,1,2,2
368,3,3,39,37,20,0,2,2,2,2
369,3,3,25,37,20,0,3,5,2,2
370,3,3,3,37,20,0,1,5,2,2
371,3,3,25,37,20,0,2,1,2,2
372,3,3,14,37,20,0,3,5,2,2
373,3,3,13,37,20,0,2,5,2,2
374,3,3,15,37,20,0,3,5,2,2
375,3,3,10,37,20,0,3,5,2,2
376,3,3,10,37,20,0,3,1,2,2
377,3,3,16,37,20,0,1,1,2,2
378,3,3,16,37,20,0,3,5,2,2
379,3,3,12,37,20,0,2,1,2,2
380,3,3,10,37,20,0,3,5,2,2
381,3,3,46,37,20,0,3,5,2,2
382,3,3,30,37,20,0,3,5,2,2
383,3,3,32,37,20,0,3,8,2,2
384,3,3,15,37,20,0,3,5,2,2
385,3,3,25,37,20,0,3,5,2,2
386,1,4,28,20,22,0,3,1,1,2
387,1,4,33,20,22,1,3,1,1,2
388,1,4,20,20,22,0,3,1,1,2
389,1,4,31,20,22,0,3,5,1,2
390,1,4,38,20,22,1,2,1,1,2
391,1,4,41,20,22,1,2,1,1,2
392,1,4,21,20,22,0,2,1,1,2
393,1,4,32,20,22,1,2,1,1,2
394,1,4,27,20,22,1,3,1,1,2
395,1,4,34,20,22,0,2,1,1,2
396,1,4,12,20,22,1,3,1,1,2
397,1,4,2,20,22,0,1,1,1,2
398,1,4,3,20,22,0,1,1,1,2
399,1,4,16,20,22,0,1,1,1,2
400,1,4,14,20,22,0,1,1,1,2
401,1,4,28,20,22,1,3,5,1,2
402,1,4,9,20,22,0,3,1,1,2
403,1,4,2,20,22,1,1,1,1,2
404,1,4,2,20,22,0,1,1,1,2
405,1,4,16,20,22,0,3,1,1,2
406,1,4,18,20,22,1,3,1,1,2
407,1,4,13,20,22,1,1,1,1,2
408,1,4,54,20,22,1,2,1,1,2
409,1,4,16,20,22,0,3,1,1,2
410,1,4,50,20,22,0,2,1,1,2
411,1,4,24,20,22,0,1,1,1,2
412,1,4,14,20,22,1,3,1,1,2
413,1,4,31,20,22,1,2,1,1,2
414,1,4,3,20,22,1,1,1,1,2
415,1,4,33,20,22,1,2,1,1,2
416,1,4,37,20,22,1,2,1,1,2
417,1,4,3,20,22,1,1,1,1,2
418,1,4,17,20,22,1,3,1,1,2
419,1,4,28,20,22,1,2,1,1,2
420,1,4,29,20,22,0,2,1,1,2
421,1,4,11,20,22,1,1,1,1,2
422,1,4,20,20,22,0,2,1,1,2
423,1,4,8,20,22,0,1,1,1,2
424,1,4,20,20,22,0,3,1,1,2
425,1,4,12,20,22,1,3,1,1,2
426,1,4,36,20,22,1,3,1,1,2
427,1,4,10,20,22,0,2,1,1,2
428,1,4,32,20,22,0,3,10,1,2
429,1,4,14,20,22,1,3,1,1,2
430,1,4,26,20,22,1,1,1,1,2
431,1,4,50,20,22,1,2,1,1,2
432,1,4,21,20,22,0,3,1,1,2
433,1,4,4,20,22,1,1,1,1,2
434,1,4,2,20,22,0,1,1,1,2
435,1,4,22,20,22,1,3,1,1,2
436,1,4,24,20,22,1,3,1,1,2
437,1,4,41,20,22,1,2,1,1,2
438,1,4,20,20,22,0,3,1,1,2
439,1,4,24,20,22,1,2,1,1,2
440,1,4,11,20,22,1,1,2,1,2
441,1,4,27,20,22,0,2,1,1,2
442,1,4,21,20,22,0,3,1,1,2
443,1,4,36,20,22,0,2,1,1,2
444,1,4,26,20,22,0,2,1,1,2
445,1,4,21,20,22,0,3,1,1,2
446,1,4,19,20,22,0,3,1,1,2
447,1,4,23,20,22,0,2,1,1,2
448,1,4,15,20,22,0,1,1,1,2
449,1,4,39,20,22,0,2,1,1,2
450,1,4,3,20,22,0,1,1,1,2
451,1,4,8,20,22,1,1,1,1,2
452,1,4,20,20,22,0,3,10,1,2
453,1,4,5,20,22,0,1,1,1,2
454,1,4,52,20,22,1,2,1,1,2
455,1,4,20,20,22,0,3,1,1,2
456,2,4,8,29,23,0,3,1,1,2
457,2,4,22,29,23,0,3,1,1,2
458,2,4,21,29,23,1,3,1,1,2
459,2,4,24,29,23,1,3,1,1,2
460,2,4,23,29,23,1,2,1,1,2
461,2,4,12,29,23,0,3,1,1,2
462,2,4,16,29,23,0,2,1,1,2
463,2,4,35,29,23,0,2,1,1,2
464,2,4,11,29,23,1,1,1,1,2
465,2,4,15,29,23,0,3,1,1,2
466,2,4,12,29,23,1,1,1,1,2
467,2,4,6,29,23,0,1,1,1,2
468,2,4,4,29,23,0,3,1,1,2
469,2,4,22,29,23,1,1,1,1,2
470,2,4,28,29,23,0,3,1,1,2
471,2,4,36,29,23,1,3,1,1,2
472,2,4,11,29,23,1,3,5,1,2
473,2,4,25,29,23,0,2,1,1,2
474,2,4,16,29,23,0,3,1,1,2
475,2,4,36,29,23,1,2,1,1,2
476,2,4,8,29,23,0,3,1,1,2
477,2,4,23,29,23,1,3,1,1,2
478,2,4,31,29,23,1,2,1,1,2
479,2,4,10,29,23,1,3,1,1,2
480,2,4,2,29,23,1,1,1,1,2
481,2,4,23,29,23,1,3,1,1,2
482,2,4,27,29,23,1,3,1,1,2
483,2,4,20,29,23,1,3,1,1,2
484,2,4,7,29,23,1,3,1,1,2
485,2,4,17,29,23,0,2,1,1,2
486,2,4,9,29,23,0,3,1,1,2
487,2,4,5,29,23,0,1,1,1,2
488,2,4,15,29,23,1,3,1,1,2
489,2,4,26,29,23,0,3,1,1,2
490,2,4,15,29,23,1,3,1,1,2
491,2,4,28,29,23,0,2,1,1,2
492,2,4,17,29,23,0,3,1,1,2
493,2,4,7,29,23,0,1,1,1,2
494,2,4,27,29,23,1,3,11,1,2
495,2,4,44,29,23,1,2,1,1,2
496,2,4,19,29,23,1,3,1,1,2
497,2,4,28,29,23,0,3,1,1,2
498,2,4,1,29,23,1,1,1,1,2
499,2,4,19,29,23,1,3,1,1,2
500,2,4,33,29,23,1,3,1,1,2
501,2,4,27,29,23,1,3,5,1,2
502,2,4,24,29,23,1,3,1,1,2
503,2,4,35,29,23,1,3,1,1,2
504,2,4,34,29,23,0,3,6,1,2
505,2,4,6,29,23,1,1,1,1,2
506,2,4,14,29,23,0,3,5,1,2
507,2,4,13,29,23,1,3,1,1,2
508,2,4,24,29,23,1,3,1,1,2
509,2,4,31,29,23,1,2,1,1,2
510,2,4,33,29,23,1,3,1,1,2
511,2,4,35,29,23,1,2,1,1,2
512,2,4,2,29,23,1,1,1,1,2
513,2,4,14,29,23,0,3,1,1,2
514,2,4,18,29,23,0,3,1,1,2
515,2,4,10,29,23,1,1,5,1,2
516,2,4,22,29,23,1,3,5,1,2
517,2,4,28,29,23,1,2,1,1,2
518,2,4,3,29,23,1,1,1,1,2
519,2,4,41,29,23,0,3,1,1,2
520,2,4,24,29,23,0,3,1,1,2
521,2,4,18,29,23,0,3,1,1,2
522,3,4,18,29,19,0,3,1,1,2
523,3,4,6,29,19,0,3,1,1,2
524,3,4,37,29,19,0,2,1,1,2
525,3,4,15,29,19,0,1,1,1,2
526,3,4,24,29,19,1,3,1,1,2
527,3,4,20,29,19,1,1,1,1,2
528,3,4,16,29,19,1,3,1,1,2
529,3,4,22,29,19,0,3,1,1,2
530,3,4,14,29,19,0,3,1,1,2
531,3,4,30,29,19,1,2,2,1,2
532,3,4,28,29,19,1,3,1,1,2
533,3,4,1,29,19,0,1,1,1,2
534,3,4,16,29,19,1,3,1,1,2
535,3,4,28,29,19,0,3,1,1,2
536,3,4,38,29,19,1,3,1,1,2
537,3,4,8,29,19,0,3,1,1,2
538,3,4,17,29,19,1,1,1,1,2
539,3,4,17,29,19,1,1,1,1,2
540,3,4,19,29,19,1,3,1,1,2
541,3,4,21,29,19,1,3,1,1,2
542,3,4,6,29,19,1,1,1,1,2
543,3,4,2,29,19,1,3,1,1,2
544,3,4,21,29,19,0,3,1,1,2
545,3,4,4,29,19,0,1,1,1,2
546,3,4,9,29,19,0,1,1,1,2
547,3,4,2,29,19,0,1,1,1,2
548,3,4,10,29,19,0,3,1,1,2
549,3,4,26,29,19,1,3,1,1,2
550,3,4,20,29,19,1,3,1,1,2
551,3,4,18,29,19,1,3,1,1,2
552,3,4,10,29,19,0,3,1,1,2
553,3,4,17,29,19,0,3,1,1,2
554,3,4,41,29,19,0,2,1,1,2
555,3,4,19,29,19,0,3,1,1,2
556,3,4,30,29,19,1,3,5,1,2
557,3,4,12,29,19,0,3,1,1,2
558,3,4,12,29,19,0,2,1,1,2
559,3,4,10,29,19,1,3,1,1,2
560,3,4,7,29,19,0,1,1,1,2
561,3,4,32,29,19,0,2,1,1,2
562,3,4,22,29,19,0,3,1,1,2
563,3,4,25,29,19,0,2,11,1,2
564,3,4,27,29,19,1,2,1,1,2
565,3,4,16,29,19,0,3,1,1,2
566,3,4,21,29,19,0,3,1,1,2
567,3,4,10,29,19,1,3,5,1,2
568,3,4,25,29,19,1,2,1,1,2
569,3,4,23,29,19,1,3,1,1,2
570,3,4,20,29,19,1,3,1,1,2
571,3,4,10,29,19,1,3,1,1,2
572,3,4,10,29,19,1,1,1,1,2
573,3,4,5,29,19,0,1,1,1,2
574,3,4,42,29,19,1,2,1,1,2
575,3,4,17,29,19,0,3,1,1,2
576,3,4,6,29,19,0,1,1,1,2
577,3,4,7,29,19,1,1,1,1,2
578,3,4,7,29,19,0,3,1,1,2
579,3,4,10,29,19,0,3,1,1,2
580,3,4,34,29,19,1,3,1,1,2
581,3,4,10,29,19,0,3,1,1,2
582,3,4,11,29,19,0,1,1,1,2
583,3,4,2,29,19,0,2,1,1,2
584,3,4,17,29,19,1,2,1,1,2
585,3,4,28,29,19,0,3,1,1,2
586,3,4,17,29,19,1,3,1,1,2
587,3,4,22,29,19,0,2,1,1,2
588,3,4,19,29,19,1,1,1,1,2
589,3,4,3,29,19,0,1,1,1,2
590,3,4,21,29,19,0,3,1,1,2
591,3,4,37,29,19,1,3,1,1,2
592,3,4,27,29,19,1,2,1,1,2
593,3,4,22,29,19,1,3,1,1,2
594,3,4,28,29,19,0,2,1,1,2
595,3,4,5,29,19,0,3,1,1,2
596,3,4,19,29,19,0,2,1,1,2
597,3,4,8,29,19,0,3,1,1,2
598,1,5,31,31,24,1,3,5,1,1
599,1,5,25,31,24,0,2,5,1,1
600,1,5,10,31,24,0,2,2,1,1
601,1,5,44,31,24,1,2,1,1,1
602,1,5,4,31,24,0,3,1,1,1
603,1,5,12,31,24,0,3,1,1,1
604,1,5,48,31,24,1,2,7,1,1
605,1,5,12,31,24,1,1,1,1,1
606,1,5,14,31,24,0,3,1,1,1
607,1,5,1,31,24,0,1,8,1,1
608,1,5,35,31,24,1,3,11,1,1
609,1,5,5,31,24,0,1,1,1,1
610,1,5,12,31,24,0,2,11,1,1
611,1,5,12,31,24,0,3,1,1,1
612,1,5,27,31,24,0,2,1,1,1
613,1,5,21,31,24,0,3,7,1,1
614,1,5,48,31,24,0,2,1,1,1
615,1,5,14,31,24,0,1,5,1,1
616,1,5,11,31,24,1,3,5,1,1
617,1,5,12,31,24,0,1,7,1,1
618,1,5,3,31,24,0,3,1,1,1
619,1,5,21,31,24,0,3,11,1,1
620,1,5,4,31,24,0,1,5,1,1
621,1,5,17,31,24,1,2,5,1,1
622,1,5,9,31,24,1,1,1,1,1
623,1,5,24,31,24,1,3,5,1,1
624,1,5,8,31,24,0,1,5,1,1
625,1,5,12,31,24,1,3,1,1,1
626,1,5,5,31,24,0,3,1,1,1
627,1,5,21,31,24,0,2,1,1,1
628,1,5,9,31,24,0,1,5,1,1
629,1,5,25,31,24,1,2,11,1,1
630,1,5,24,31,24,1,3,1,1,1
631,1,5,31,31,24,1,2,1,1,1
